id;title;price;publisher_name;publisher_date
1;Table Fish;56616;cyan Forward forecast;2021-04-14T06:55:18
2;Principal compress state;78529;intuitive 巷 辽宁省;2021-04-13T20:16:06
3;Designer connect;55737;Accountability;2021-04-13T18:58:30
4;auxiliary Pula Representative;83946;Bedfordshire driver Soft;2021-04-14T07:43:42
5;Soft;88069;旁 violet;2021-04-13T17:03:41
6;override;72527;HTTP wireless optical;2021-04-13T22:41:30
7;Jordanian application withdrawal;67663;Shoes;2021-04-13T12:30:26
8;巷 architectures;99031;backing deposit;2021-04-13T20:27:16
9;Computer e-business indigo;61456;monitor SQL Product;2021-04-13T10:18:18
10;Checking Developer;13668;next-generation;2021-04-13T10:06:02
