id;cmd_name;cmd_code;value;cmd_type;create_time;enable
1;Mouse orchid;IB Card mint;false;ON;2021-05-27T12:52:19;true
2;SMTP Director withdrawal;Card SAS;false;OFF;2021-05-28T04:01:36;false
3;violet sky Licensed;array Wooden;false;ON;2021-05-27T15:51:13;false
4;Pizza;deposit green Granite;false;ON;2021-05-27T20:05:02;false
5;Rial;user-centric;true;TIMEOFF;2021-05-28T05:43:21;true
6;Executive;巷 Data;true;TIMEON;2021-05-27T13:11:01;false
7;Incredible;Pataca Rustic capacitor;false;OFF;2021-05-27T22:33:31;false
8;Refined;Handmade;false;TIMEON;2021-05-27T22:09:22;true
9;customized Dynamic Administrator;transmitting Refined Generic;true;OFF;2021-05-27T19:51:40;false
10;旁 Refined;neural Home;false;ON;2021-05-28T06:49:08;false
