id;device_name;long_code;ty_device_id;device_type;cmd_code;create_time;enable
1;Dynamic yellow Assistant;74798;real-time 广西省 strategize;25823;evolve driver;2021-05-27T15:31:50;true
2;communities;55006;Buckinghamshire;66790;Synchronised Frozen black;2021-05-27T14:39:38;false
3;JBOD;35741;solutions withdrawal iterate;81566;multi-byte;2021-05-27T08:40:00;false
4;Chicken;85828;Shoes auxiliary;35085;generate Fresh purple;2021-05-27T20:52:39;false
5;Interface Total;81909;invoice driver;22298;Singapore;2021-05-27T14:32:36;true
6;syndicate magenta functionalities;24169;withdrawal;65966;Persevering AGP;2021-05-28T03:04:10;false
7;Swedish program;56442;Bacon partnerships;73103;array Lead CSS;2021-05-27T23:48:23;true
8;e-enable;20061;Chicken 桥;39510;Wooden Markets Buckinghamshire;2021-05-28T04:05:20;true
9;function forecast;69397;Account;38444;user-facing;2021-05-28T00:59:09;false
10;feed payment Toys;76571;栋;8661;Cambridgeshire;2021-05-28T05:48:49;true
