id;name;long_code;floor_count;unites;longitude;latitude;enable
1;syndicate;repurpose web-readiness;39842;37344;open Forward card;Salad Orchestrator;true
2;Dynamic 四川省;implement;7545;51186;withdrawal National Australian;Games Car Buckinghamshire;false
3;THX;Legacy Borders;3263;45317;Kazakhstan;Marketing invoice;true
4;巷;Future;3206;14644;tan Ball Licensed;Buckinghamshire haptic 澳门;false
5;e-tailers;platforms Cambridgeshire Platinum;95015;71486;Marketing;discrete;false
6;concept deliver Automotive;Games Pants back-end;43802;38346;rich deliverables Steel;USB;true
7;out-of-the-box;e-tailers Hat;8561;70328;Savings 巷 Group;portal Ringgit;false
8;line index;matrix;90359;40391;deposit hack;out-of-the-box;false
9;data-warehouse;Soft;90054;75857;Agent indexing;Music mindshare;true
10;BCEAO Compatible;Coordinator Account;34672;35574;旁;Web 栋;true
