id;room_num;unit;room_type;room_area;used;auto_control;long_code
1;Market;Officer 旁 桥;Product Upgradable application;50946;true;false;Mouse
2;synergy Cotton Salad;栋 Bahamas User-friendly;Health bluetooth;52016;false;true;payment
3;Account Coordinator;Granite 侬 Somoni;Open-architected impactful 福建省;65529;true;true;Lead
4;Supervisor Multi-tiered Triple-buffered;Centralized 江西省 aggregate;visionary 山东省 payment;51909;true;true;Buckinghamshire
5;Dobra Tuna deposit;Auto navigate;turn-key;53235;true;false;core markets Generic
6;Berkshire;orchid;Officer;80200;true;false;haptic
7;Quality Future;Kwanza;Philippines 路 firewall;83903;true;true;Argentine Cambridgeshire
8;transmitting Fresh Account;Music;infrastructures;35137;true;true;Small
9;Kuna sensor;Technician;Berkshire Computers methodical;49879;true;true;orange e-enable
10;黑龙江省 sexy;Accounts District;Officer COM Automotive;28914;false;false;orchid Incredible Auto
